Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Rosedro 80mg/250mg Tablet,GASTRO INTESTINAL,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Qraspan D 10mg/40mg Tablet,GASTRO INTESTINAL,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nimdec SP 100mg/325mg/10mg Tablet,PAIN ANALGESICS,90,1.52,8.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Joecool D 30mg/40mg Capsule SR,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Ucopent D 10mg/40mg Tablet,GASTRO INTESTINAL,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ozefit Lotion,DERMA,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lanspro 30 Capsule,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Xirtam 20 Tablet,CARDIAC,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Newlax 10mg Tablet,GASTRO INTESTINAL,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Libral 12.5 mg/5 mg Tablet,NEURO CNS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Decy 6mg Tablet,HORMONE,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Novegrow 10% Solution,DERMA,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
AB Glymprd M 1mg/500mg Tablet SR,ANTI DIABETICS,158,2.67,7.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Inflachek Tablet,PAIN ANALGESICS,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Valence 2.5mg Tablet,CARDIAC,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Aricet LA 5mg/60mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Duo Clav 250mg/125mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Jubiglim M Forte 3mg/1000mg Tablet PR,ANTI DIABETICS,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Candeol Cream,DERMA,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cofsy DMR Tablet,RESPIRATORY,107,1.81,8.19,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vertizor 8 Tablet,NEURO CNS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Levfloxin 750mg Tablet,OPHTHAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Cogtin Plus 60mg/800mg/5mg Tablet,VITAMINS MINERALS NUTRIENT,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vicotus X Syrup,RESPIRATORY,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Diclotal 25mg Injection,PAIN ANALGESICS,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tenlison 20mg Tablet,ANTI DIABETICS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Dilof BTR Tablet,PAIN ANALGESICS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Decomic Plus Eye Drop,OPHTHAL,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Nervpack NT 75mg/10mg/1500mcg Capsule,NEURO CNS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Lysiprin 500 Tablet,NEURO CNS,31,0.52,9.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Necpanto 40mg Injection,GASTRO INTESTINAL,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cilniblu T 10mg/40mg Tablet,CARDIAC,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Dolar 4mg/7.5mg/5mg Syrup,RESPIRATORY,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
FAROLF 300mg Tablet,ANTI INFECTIVES,81,1.37,8.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glypar M Forte 2mg/1000mg Tablet,ANTI DIABETICS,311,5.25,4.75,Medium Flexibility,Regular Monitoring
Micabal Injection,VITAMINS MINERALS NUTRIENT,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Petresin 20IU Injection,HORMONES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Rifzox 200mg Tablet,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kiopan 40 Injection,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Gliway MP 2 mg/500 mg/15 mg Tablet,ANTI DIABETICS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fusitrend-C Cream,DERMA,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Breaze-FX Tablet,RESPIRATORY,50,0.84,9.16,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fondaflo 2.5 Injection,CARDIAC,65,1.1,8.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lactihusk  Granules Sugar Free,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Revive 100mg Injection,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Qvcef AZ 200mg/250mg Tablet,ANTI INFECTIVES,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Voliphage-M 500mg/0.3mg Tablet SR,ANTI DIABETICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lifetel-AM Tablet,CARDIAC,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hicipro 125mg Tablet,GASTRO INTESTINAL,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Irs 20 mg/150 mg Capsule,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Genericart Amlodipine Besylate+Metoprolol Succinate 5mg/50mg Tablet ER,CARDIAC,70,1.18,8.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cyblex 60 XR Tablet,ANTI DIABETICS,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
PPG MD 0.3 Tablet,ANTI DIABETICS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Doxyfresh OD Tablet,GASTRO INTESTINAL,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Megapentin G 300mg/500mcg Tablet,NEURO CNS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Divalep 250mg Tablet ER,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Jubiglim M 2 Tablet PR,ANTI DIABETICS,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Livezy M 5mg/10mg Tablet,RESPIRATORY,89,1.5,8.5,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Iimoclav Oral Suspension,ANTI INFECTIVES,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Injicort 40mg Injection,DERMA,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Santramol 37.5mg/325mg Tablet,PAIN ANALGESICS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Nimtech 100mg Tablet,PAIN ANALGESICS,471,7.96,2.04,High Flexibility (Safe),Lean Inventory (Low Risk)
Spr Nac 100mg/325mg/10mg Tablet,PAIN ANALGESICS,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Maxtra Cold Plus Tablet,RESPIRATORY,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Arorab IT 20mg/150mg Capsule SR,GASTRO INTESTINAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Sensesit Gel,PAIN ANALGESICS,377,6.37,3.63,Medium Flexibility,Regular Monitoring
Speeder SP 100mg/325mg/15mg Tablet,PAIN ANALGESICS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Vesureb-DSR Capsule,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Insuman Rapid 40IU/ml Solution for Injection,ANTI DIABETICS,129,2.18,7.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabicip D  Capsule SR,GASTRO INTESTINAL,50,0.84,9.16,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Neuvert 16mg Tablet,NEURO CNS,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Deltel H 40mg/12.5mg Tablet,CARDIAC,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Laveran Tablet,ANTI MALARIALS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Feforon Injection,GYNAECOLOGICAL,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gutts 0.3% Eye Drop,OPHTHA,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Xolcef 500mg Tablet,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Livrace 500mg Tablet,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Actovis 2500mcg Injection,VITAMINS MINERALS NUTRIENTS,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Beclate 100 hfa Inhaler,DERMA,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Atorastin 10mg Tablet,CARDIAC,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Benipack M 4mg/25mg Tablet,CARDIAC,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Fineomet 50mg Tablet,CARDIAC,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Moxifur 0.5% Eye Drop,OPHTHA,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Defmark 6mg Tablet,HORMONE,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vanbactum 4000mg/500mg Injection,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Vitcorich 200mg/15mg/500mcg Injection,VITAMINS MINERALS NUTRIENT,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jeepam Plus 0.50mg/10mg Tablet,NEURO CNS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Yepcef LB 200mg Tablet,ANTI INFECTIVES,133,2.25,7.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Moxifresh K Ear Drop,OPHTHA,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drowell-M Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Bistrepen 400000IU Injection,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Kisok 200mg Tablet,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Krosimo 40mg Injection,GASTRO INTESTINAL,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Bestotel 40mg Tablet,CARDIAC,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimify-M2 Tablet,ANTI DIABETICS,29,0.49,9.51,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ucifix 100mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
StayHappi Tranexamic Acid 500mg Tablet,BLOOD RELATED,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
JOPRAM 10 MG TABLET,NEURO CNS,66,1.11,8.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Q Siz 100mg Tablet,NEURO CNS,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Wonvog 0.3mg Tablet,ANTI DIABETICS,127,2.15,7.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Swace P 100mg/325mg Tablet,PAIN ANALGESICS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Prelink M 750mcg/75mg Capsule,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Dicillin Forte 500mg Capsule,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Lefovio 500mg Tablet,OPHTHAL,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Acolate Kid Nasal Drops,RESPIRATORY,90,1.52,8.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Livnete 5gm Injection,GASTRO INTESTINAL,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Upodime Dry Syrup Mixed Fruit,ANTI INFECTIVES,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Livcare Syrup,GASTRO INTESTINAL,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Philcort 6mg Tablet,HORMONE,24,0.41,9.59,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabemat 20mg Tablet,GASTRO INTESTINAL,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Atiket Tablet,OPHTHAL OTOLOGICAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Exudase 20mg Tablet,PAIN ANALGESICS,130,2.2,7.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fexovil 120mg Tablet,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Cyclopent Eye Drop,GASTRO INTESTINAL,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sucam Suspension,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Epsoval 500mg Tablet XR,NEURO CNS,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Freepar 100mg/325mg Tablet,PAIN ANALGESICS,130,2.2,7.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Blecef-O 200 Tablet,ANTI INFECTIVES,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Anirab-DSR Capsule,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Monti-L 5mg/10mg Tablet,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Gkon 200mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Kiagest H 500mg Injection,GYNAECOLOGICAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Rifanip 550mg Tablet,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Elicia 8 Tablet,NEURO CNS,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Olmeprax AH 20mg/5mg/12.5mg Tablet,CARDIAC,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Clominik 50mg Tablet,GYNAECOLOGICA,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Glimeto MV 1mg/500mg/0.2mg Tablet,ANTI DIABETICS,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Yourflox 1000mg Injection,ANTI INFECTIVES,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Difpru  Ophthalmic Emulsion,OPHTHAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Paramag IP 400mg/325mg Tablet,PAIN ANALGESICS,66,1.11,8.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tropan 2.5 Tablet,UROLOGY,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Genof OZ 200mg/500mg Tablet,GASTRO INTESTINAL,485,8.19,1.81,High Flexibility (Safe),Lean Inventory (Low Risk)
Ukopar Infusion,PAIN ANALGESICS,478,8.07,1.93,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabgud LS 75mg/20mg Capsule SR,GASTRO INTESTINAL,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Rabin-DSR Capsule,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Nugestron 200mg Capsule,GYNAECOLOGICAL,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zolpirest 10mg Tablet,NEURO CNS,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aceflam SP 100mg/325mg/15mg Tablet,PAIN ANALGESICS,79,1.33,8.67,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rixone-SB 1.5 Injection,ANTI INFECTIVES,31,0.52,9.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tazotam 4000mg/500mg Injection,ANTI INFECTIVES,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Y Doxime AZ 200mg/250mg Tablet,ANTI INFECTIVES,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Perfekt DSR Capsule,GASTRO INTESTINAL,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Capirab D 10mg/20mg Tablet,GASTRO INTESTINAL,63,1.06,8.94,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jeflox-OZ 200mg/500mg Tablet,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Tindiflox 400 mg/600 mg Tablet,GASTRO INTESTINAL,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Manforce 50mg Tablet,SEX STIMULANTS REJUVENATORS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Rabogest-D Tablet,GASTRO INTESTINAL,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flezcort 30mg Tablet,HORMONE,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Eszol DSR Capsule,GASTRO INTESTINAL,57,0.96,9.04,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lufix 200mg Tablet,ANTI INFECTIVES,71,1.2,8.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ivernex 12mg Tablet,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Aspan 40mg Tablet,GASTRO INTESTINAL,98,1.66,8.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Met-Pco Care Tablet,GYNAECOLOGICA,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Efanid Cream,DERMA,50,0.84,9.16,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kofarest-PD Syrup,RESPIRATORY,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
P-RD Capsule PR,GASTRO INTESTINAL,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ezofen-Plus Tablet,PAIN ANALGESICS,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Sazopride MP 2mg/500mg/15mg Tablet,ANTI DIABETICS,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Retizo 10mg Capsule,DERMA,77,1.3,8.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Criticef H 750mg Injection,ANTI INFECTIVES,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Eugest 200mg Injection,GYNAECOLOGICAL,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
S-Vocita 5 Tablet,NEURO CNS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rozutin F 160mg/10mg Tablet,CARDIAC,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kesrorab D 30mg/20mg Capsule SR,GASTRO INTESTINAL,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Formost 200 Inhaler,RESPIRATORY,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tofahenz 5mg Tablet,PAIN ANALGESICS,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Threeomycin 500mg Tablet,ANTI INFECTIVES,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bactrocin 1000mg Tablet,ANTI INFECTIVES,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Bptan AM 40mg/5mg Tablet,CARDIAC,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Thiother 15mg Injection,ANTI NEOPLASTICS,74,1.25,8.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
RZL-DSR Capsule,GASTRO INTESTINAL,100,1.69,8.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pantapro 40mg Tablet,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Carca 3.125 Tablet,CARDIAC,73,1.23,8.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Effitor 10mg Tablet,CARDIAC,57,0.96,9.04,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vanocit Tablet,NEURO CNS,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ibrukem Capsule,ANTI NEOPLASTICS,586,9.9,0.1,High Flexibility (Safe),Lean Inventory (Low Risk)
Moxiconch-LB Tablet,ANTI INFECTIVES,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Obimet GX 4 Tablet PR,ANTI DIABETICS,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lipikind EZ 10mg/10mg Tablet,CARDIAC,59,1.0,9.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pregabid 75 Capsule,NEURO CNS,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Taz 60mg Tablet SR,CARDIAC,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ulti-Cin 500 Tablet,ANTI INFECTIVES,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ky Zilos 40mg Tablet,GASTRO INTESTINAL,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Regestrone CR 15mg Tablet,GYNAECOLOGICAL,58,0.98,9.02,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ark-TH4 Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Pitacin-D Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Welcin D 10mg/325mg Tablet,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Ondawem Injection,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Vorgun GM 2mg/1000mg/0.3mg Tablet SR,ANTI DIABETICS,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mucogen 100mg Tablet,GASTRO INTESTINAL,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
Ozramont FX 10mg/120mg Tablet,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Fexodis 180mg Tablet,RESPIRATORY,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Deflanet 6 Tablet,HORMONE,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Wudbalin Forte 2500mcg Injection,VITAMINS MINERALS NUTRIENT,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
